Date,SP500_Open,SP500_High,SP500_Low,SP500_Close,SP500_Adj Close,SP500_Volume,BTC_Open,BTC_High,BTC_Low,Close,Adj Close,BTC_Volume,Close_BoxCox,Close_BoxCox_Diff
2014-09-17,1999.300048828125,2010.739990234375,1993.2900390625,2001.5699462890625,2001.5699462890625,3209420000.0,465.864013671875,468.17401123046875,452.4219970703125,457.3340148925781,457.3340148925781,21056800,11.912117126386027,
2014-09-18,2003.0699462890625,2012.3399658203125,2003.0699462890625,2011.3599853515625,2011.3599853515625,3235340000.0,456.8599853515625,456.8599853515625,413.10400390625,424.44000244140625,424.44000244140625,34483200,11.663707066962727,-0.24841005942329986
2014-09-19,2012.739990234375,2019.260009765625,2006.5899658203125,2010.4000244140625,2010.4000244140625,4880220000.0,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,394.7959899902344,37919700,11.426231227864085,-0.2374758390986429
2014-09-20,,,,,,,394.6730041503906,423.2959899902344,389.88299560546875,408.90399169921875,408.90399169921875,36863600,11.540971520496502,0.11474029263241725
2014-09-21,,,,,,,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,398.8210144042969,26580100,11.459297827762372,-0.08167369273412994
2014-09-22,2009.0799560546875,2009.0799560546875,1991.010009765625,1994.2900390625,1994.2900390625,3349670000.0,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,402.1520080566406,24127600,11.486460866685851,0.027163038923479377
2014-09-23,1992.780029296875,1995.4100341796875,1982.77001953125,1982.77001953125,1982.77001953125,3279350000.0,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,435.7909851074219,45099500,11.751120653648947,0.26465978696309556
2014-09-24,1983.3399658203125,1999.7900390625,1978.6300048828125,1998.300048828125,1998.300048828125,3313850000.0,435.7510070800781,436.11199951171875,421.1319885253906,423.2049865722656,423.2049865722656,30627700,11.654083481033291,-0.09703717261565536
2014-09-25,1997.3199462890625,1997.3199462890625,1965.989990234375,1965.989990234375,1965.989990234375,3273050000.0,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,411.5740051269531,26814400,11.562328107511245,-0.09175537352204621
2014-09-26,1966.219970703125,1986.3699951171875,1966.219970703125,1982.8499755859375,1982.8499755859375,2929440000.0,411.4289855957031,414.93798828125,400.0090026855469,404.42498779296875,404.42498779296875,21460800,11.50489272773621,-0.057435379775034434
2014-09-27,,,,,,,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,399.5199890136719,15029300,11.465012763718924,-0.03987996401728644
2014-09-28,,,,,,,399.47100830078125,401.0169982910156,374.3320007324219,377.1809997558594,377.1809997558594,23613300,11.278255440345507,-0.186757323373417
2014-09-29,1978.9599609375,1981.280029296875,1964.0400390625,1977.800048828125,1977.800048828125,3094440000.0,376.9280090332031,385.21099853515625,372.239990234375,375.4670104980469,375.4670104980469,32497700,11.26356279711376,-0.014692643231747127
2014-09-30,1978.2099609375,1985.1700439453125,1968.9599609375,1972.2900390625,1972.2900390625,3951100000.0,376.0880126953125,390.97698974609375,373.4429931640625,386.9440002441406,386.9440002441406,34707300,11.360938630211859,0.0973758330980985
2014-10-01,1971.43994140625,1971.43994140625,1941.719970703125,1946.1600341796875,1946.1600341796875,4188590000.0,387.427001953125,391.3789978027344,380.7799987792969,383.614990234375,383.614990234375,26229400,11.332935179192779,-0.02800345101907986
2014-10-02,1945.8299560546875,1952.3199462890625,1926.030029296875,1946.1700439453125,1946.1700439453125,4012510000.0,383.9880065917969,385.49700927734375,372.9460144042969,375.0719909667969,375.0719909667969,21777700,11.260168984408729,-0.07276619478404989
2014-10-03,1948.1199951171875,1971.18994140625,1948.1199951171875,1967.9000244140625,1967.9000244140625,3560970000.0,375.1809997558594,377.69500732421875,357.8590087890625,359.5119934082031,359.5119934082031,30901200,11.124145268489398,-0.1360237159193307
2014-10-04,,,,,,,359.8919982910156,364.48699951171875,325.885986328125,328.8659973144531,328.8659973144531,47236500,10.841799103434983,-0.282346165054415
2014-10-05,,,,,,,328.9159851074219,341.8009948730469,289.2959899902344,320.510009765625,320.510009765625,83308096,10.761160368979338,-0.08063873445564518
2014-10-06,1970.010009765625,1977.8399658203125,1958.4300537109375,1964.8199462890625,1964.8199462890625,3358220000.0,320.3890075683594,345.1340026855469,302.55999755859375,330.0790100097656,330.0790100097656,79011800,10.853368108292663,0.09220773931332538
2014-10-07,1962.3599853515625,1962.3599853515625,1934.8699951171875,1935.0999755859375,1935.0999755859375,3687870000.0,330.5840148925781,339.24700927734375,320.48199462890625,336.18701171875,336.18701171875,49199900,10.911109523389403,0.057741415096739246
2014-10-08,1935.550048828125,1970.3599853515625,1925.25,1968.8900146484375,1968.8900146484375,4441890000.0,336.1159973144531,354.364013671875,327.18798828125,352.94000244140625,352.94000244140625,54736300,11.06527093704425,0.15416141365484748
2014-10-09,1967.6800537109375,1967.6800537109375,1927.56005859375,1928.2099609375,1928.2099609375,4344020000.0,352.74798583984375,382.72601318359375,347.68701171875,365.0260009765625,365.0260009765625,83641104,11.172879124542995,0.10760818749874446
2014-10-10,1925.6300048828125,1936.97998046875,1906.050048828125,1906.1300048828125,1906.1300048828125,4550540000.0,364.68701171875,375.0669860839844,352.9630126953125,361.56201171875,361.56201171875,43665700,11.1423333218725,-0.030545802670495448
2014-10-11,,,,,,,361.36199951171875,367.1910095214844,355.95098876953125,362.29901123046875,362.29901123046875,13345200,11.148851863730835,0.00651854185833578
2014-10-12,,,,,,,362.6059875488281,379.4330139160156,356.1440124511719,378.54901123046875,378.54901123046875,17552800,11.289943895798027,0.141092032067192
2014-10-13,1905.6500244140625,1912.0899658203125,1874.1400146484375,1874.739990234375,1874.739990234375,4352580000.0,377.9209899902344,397.22601318359375,368.8970031738281,390.41400146484375,390.41400146484375,35221400,11.389923042633223,0.09997914683519582
2014-10-14,1877.1099853515625,1898.7099609375,1871.7900390625,1877.699951171875,1877.699951171875,4812010000.0,391.6919860839844,411.697998046875,391.3240051269531,400.8699951171875,400.8699951171875,38491500,11.476027968053696,0.08610492542047332
2014-10-15,1874.1800537109375,1874.1800537109375,1820.6600341796875,1862.489990234375,1862.489990234375,6090800000.0,400.9549865722656,402.22698974609375,388.7659912109375,394.77301025390625,394.77301025390625,25267100,11.426041668326821,-0.04998629972687496
2014-10-16,1855.949951171875,1876.010009765625,1835.02001953125,1862.760009765625,1862.760009765625,5073150000.0,394.51800537109375,398.8070068359375,373.07000732421875,382.5559997558594,382.5559997558594,26990000,11.323986125257047,-0.10205554306977405
2014-10-17,1864.9100341796875,1898.1600341796875,1864.9100341796875,1886.760009765625,1886.760009765625,4482120000.0,382.7560119628906,385.4779968261719,375.3890075683594,383.75799560546875,383.75799560546875,13600700,11.334142133624699,0.010156008367651737
2014-10-18,,,,,,,383.97601318359375,395.1579895019531,378.97100830078125,391.4419860839844,391.4419860839844,11416800,11.398469945062429,0.06432781143772992
2014-10-19,,,,,,,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,389.5459899902344,5914570,11.382692119560808,-0.015777825501620768
2014-10-20,1885.6199951171875,1905.030029296875,1882.300048828125,1904.010009765625,1904.010009765625,3331210000.0,389.2309875488281,390.0840148925781,378.25201416015625,382.8450012207031,382.8450012207031,16419000,11.326430317530159,-0.05626180203064912
2014-10-21,1909.3800048828125,1942.449951171875,1909.3800048828125,1941.280029296875,1941.280029296875,3987090000.0,382.4209899902344,392.64599609375,380.8340148925781,386.4750061035156,386.4750061035156,14188900,11.357005206228889,0.030574888698730263
